ID Evento,Data,Hora,ID Usuário,Usuário,E-mail,Idade,Cidade/UF,Gênero (Usuário),Data de Cadastro,Título,Gênero,Tipo,Episódios Assistidos,Duração da Sessão (min),Tempo Assistido (min),% Assistido,Concluiu?,Dispositivo
1,2026-05-14,12:45,7,Gustavo Ferreira Rocha,gustavo.rocha@fictmail.com,38,Campinas - SP,M,2024-04-22,As Branquelas,Comédia,Filme,-,114,99,0.87,Não,Console
2,2026-05-14,23:45,8,Juliana Alves Barbosa,juliana.barbosa@fictmail.com,25,Recife - PE,F,2024-05-10,Kill Bill: Volume 1,Ação,Filme,-,122,121,0.99,Sim,Smart TV
3,2026-05-15,19:30,8,Juliana Alves Barbosa,juliana.barbosa@fictmail.com,25,Recife - PE,F,2024-05-10,American Horror Story,Terror,Série (antologia),2,90,90,1,Sim,Celular
4,2026-05-16,09:45,2,Maria Eduarda Santos,maria.santos@fictmail.com,34,Rio de Janeiro - RJ,F,2024-02-03,American Horror Story,Terror,Série (antologia),2,90,82,0.91,Sim,Smart TV
5,2026-05-16,11:00,3,Lucas Gabriel Oliveira,lucas.oliveira@fictmail.com,22,Belo Horizonte - MG,M,2024-02-20,Modern Love,Romance,Série (antologia),2,92,81,0.88,Não,Smart TV
6,2026-05-16,22:30,8,Juliana Alves Barbosa,juliana.barbosa@fictmail.com,25,Recife - PE,F,2024-05-10,X-Men: A Série Animada,Animação,Série (animação),1,56,50,0.9,Sim,Smart TV
7,2026-05-17,21:00,5,Rafael Henrique Souza,rafael.souza@fictmail.com,27,Porto Alegre - RS,M,2024-03-18,O Sexto Sentido,Suspense,Filme,-,136,118,0.87,Não,Smart TV
8,2026-05-17,23:15,8,Juliana Alves Barbosa,juliana.barbosa@fictmail.com,25,Recife - PE,F,2024-05-10,Duro de Matar,Ação,Filme,-,124,122,0.98,Sim,Smart TV
9,2026-05-18,14:45,2,Maria Eduarda Santos,maria.santos@fictmail.com,34,Rio de Janeiro - RJ,F,2024-02-03,Clube da Luta,Drama,Filme,-,103,47,0.46,Não,Celular
10,2026-05-18,19:00,7,Gustavo Ferreira Rocha,gustavo.rocha@fictmail.com,38,Campinas - SP,M,2024-04-22,007 - Operação Skyfall,Ação,Filme,-,106,99,0.93,Sim,Notebook/PC
11,2026-05-19,10:30,8,Juliana Alves Barbosa,juliana.barbosa@fictmail.com,25,Recife - PE,F,2024-05-10,Interestelar,Ficção Científica,Filme,-,101,60,0.59,Não,Smart TV
12,2026-05-19,16:30,8,Juliana Alves Barbosa,juliana.barbosa@fictmail.com,25,Recife - PE,F,2024-05-10,Atividade Paranormal,Terror,Filme,-,112,22,0.2,Não,Notebook/PC
13,2026-05-20,07:45,9,Pedro Henrique Martins,pedro.martins@fictmail.com,45,Brasília - DF,M,2024-05-27,Outlander,Romance,Série,1,54,54,1,Sim,Smart TV
14,2026-05-20,12:00,9,Pedro Henrique Martins,pedro.martins@fictmail.com,45,Brasília - DF,M,2024-05-27,Hereditário,Terror,Filme,-,95,90,0.95,Sim,Smart TV
15,2026-05-20,14:00,1,João Pedro Silva,joao.silva@fictmail.com,29,São Paulo - SP,M,2024-01-15,Arcane,Animação,Série (animação),1,55,19,0.34,Não,Smart TV
16,2026-05-20,19:30,7,Gustavo Ferreira Rocha,gustavo.rocha@fictmail.com,38,Campinas - SP,M,2024-04-22,X-Men: A Série Animada,Animação,Série (animação),1,56,50,0.89,Não,Celular
17,2026-05-21,15:00,10,Camila Rodrigues Dias,camila.dias@fictmail.com,19,Fortaleza - CE,F,2024-06-14,Invencível,Animação,Série (animação),1,42,39,0.93,Sim,Smart TV
18,2026-05-22,21:00,1,João Pedro Silva,joao.silva@fictmail.com,29,São Paulo - SP,M,2024-01-15,Rick and Morty,Animação,Série (animação),3,171,157,0.92,Sim,Smart TV
